id,baslik,sarki_sozu,sarki_turu,eski_turkce_kelime_orani,fiil_orani,sifat_orani,zarf_orani,baglac_orani,unlem_orani,soru_orani,bilinmeyen_orani
551,Son Durak İlahisi İşte Son Durak,"bitti yolculuğun işte son durak
getirdiler seni başlar üstünde
ne idin ne oldun kalk haline bak
bir kefenden başka ne var üstünde
ne idin ne oldun kalk haline bak
bir kefenden başka ne var üstünde

şeytan düşmandır onu dost bildin
bugün yarın derken geldi ecelin
tövbeden bir nasip almadan gittin
bir kefenden başka ne var üstünde
tövbeden bir nasip almadan gittin
bir kefenden başka ne var üstünde

ne vicdan tanıdın ne de dinini
doyurmak istedin hep sen nefsini
kalk da şöyle bir yokla kendini
bir kefenden başka ne var üstünde
kalk da şöyle bir yokla kendini
bir kefenden başka ne var üstünde
bir kefenden başka ne var üstünde

bize rahmet eyle ya rap ne çare
yaradana yüzüm yok ki bi çare
dünyayı terk edip giderken kabre
bir kefenden başka ne var üstünde
dünyayı terk edip giderken kabre
bir kefenden başka ne var üstünde

toplayıp sakladın dünya malını
sormadın bir gün fakir halini
şimdi başı açık ayak yarini
bir kefenden başka ne var üstünde
şimdi başı açık ayak yarini
bir kefenden başka ne var üstünde

azrail gelince gözden kalkar perde
o an göreceksin yerin nerede
yer kazacaklar sana o kara yere
bir kefenden başka ne var üstünde
yer kazacaklar sana o kara yere
bir kefenden başka ne var üstünde
",ilahi,0.2,0.12,0.1,0.14,0.02,0.0,0.0,0.0
552,Bu Aşk Bir Bahri Ummandır,"bu aşk bir bahri ummandır
buna haddü kenar olmaz
delilim sırrı kur’an’dır
bunu bilende ar olmaz

subhanallah sultan allah
her dertlere derman allah

kıyamazsan başü cane
irak dur girme meydane
bu meydanda nice başlar
kesilir hiç sorar olmaz

subhanallah sultan allah
her dertlere derman allah

biz aşığız biz ölmeyiz
çürüyüp toprak olmayız
karanlıklarda kalmayız
bize leylü nehar olmaz

subhanallah sultan allah
her dertlere derman allah
",ilahi,0.15,0.21,0.04,0.03,0.0,0.0,0.0,0.13
553,Güllerde Senin İzin Ya Rasul,"güllerin diyarına hasret köylü bir çocuk
sana doğru uzuyor sevda dolu yolculuk
açmıştı güller yine her dalında tomurcuk
onları koklarken ter döker boncuk boncuk

güllerde senin izin ya rasul
güllerde senin kokun ya habib
abı hayat elinle
yüreğime bir dokun ya nebi
güllerde senin izin ya rasul
güllerde senin kokun ya habib
abı hayat elinle
yüreğime bir dokun ya nebi

i̇çindeki sevdası öyle büyüktü gülün
o masum köylü çocuk koparması ne mümkün
geldik hep gideceğiz göçmen bülbüller gibi
gönüllere bir girsek solmayan güller gibi

güllerde senin izin ya rasul
güllerde senin kokun ya habib
abı hayat elinle
yüreğime bir dokun ya nebi
güllerde senin izin ya rasul
güllerde senin kokun ya habib
abı hayat elinle
yüreğime bir dokun ya nebi

kul mabudun andıkça gönül aşkla yandıkça
resule selam olur güller hatırlandıkça
güllerin her yaprağı sayfa sayfa hatıra
ey resulü kibriya sen gelirsin hatıra

güllerde senin izin ya rasul
güllerde senin kokun ya habib
abı hayat elinle
yüreğime bir dokun ya nebi
güllerde senin izin ya rasul
güllerde senin kokun ya habib
abı hayat elinle
yüreğime bir dokun ya nebi
",ilahi,0.17,0.08,0.04,0.04,0.1,0.01,0.0,0.01
554,Sevdalıyız,"adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız
canu dilden bir aşk ile
hak yoluna sevdalıyız

hakka dönüktür yüzümüz
resuldür peygamberimiz
sevdalıyız izindeyiz
hak yoluna sevdalıyız
sevdalıyız izindeyiz
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız
canu dilden bir aşk ile
hak yoluna sevdalıyız

bizdeki aşk yürektendir
muhabbetler sevgidendir
sevdamız var gönüldendir
hak yoluna sevdalıyız
sevdamız var gönüldendir
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız
canu dilden bir aşk ile
hak yoluna sevdalıyız

yüce allahın kuluyuz
hakkın yolunu bulmuşuz
resule hayran olmuşuz
hak yoluna sevdalıyız
resule hayran olmuşuz
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız
canu dilden bir aşk ile
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız

adımız var dilden dile
biz konarız gülden güle
canu dilden bir aşk ile
hak yoluna sevdalıyız
canu dilden bir aşk ile
hak yoluna sevdalıyız
",ilahi,0.3,0.18,0.06,0.0,0.0,0.0,0.0,0.06
555,Bilal Habeşi,"candan bağlı idi o hakk resule
bilali habeşi garip bir köle
öyküsü dolaşır dillerden dile
bilali habeşi o büyük insan

yatırdılar onu kızgın kumlara
vücüdunu boyadılar kanlara
canım kurban bilal gibi canlara
bilali habeşi o büyük insan

vura vura vücudunu soydular
üzerine büyük taşlar koydular
bilalin el hakk deyişin duydular
bilali habeşi o büyük insan

yatırdılar onu kızgın kumlara
vücüdunu boyadılar kanlara
canım kurban bilal gibi canlara
bilali habeşi o büyük insan

ebubekir satın aldı o canı
azad etti o yiğit kahramanı
sevindi alemlerin o sultanı
bilali habeşi o büyük insan

yatırdılar onu kızgın kumlara
vücüdunu boyadılar kanlara
canım kurban bilal gibi canlara
bilali habeşi o büyük insan
",ilahi,0.08,0.16,0.11,0.0,0.0,0.0,0.0,0.03
556,Aynı Derde,"uyanırlar seherde
düşerler aynı derde
gülün açtığı yerde
öterler allah diye

uyanırlar seherde
düşerler aynı derde
gülün açtığı yerde
öterler allah diye

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar
kalbi eriten onlar

gül dalına konarlar
allah deyip yanarlar
her dem hakkı anarlar
öterler allah diye

gül dalına konarlar
allah deyip yanarlar
her dem hakkı anarlar
öterler allah diye

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar
kalbi eriten onlar

sevmezler masivayı
zikrederler mevla’yı
bulmuşlar bu sevdayı
öterler allah diye

sevmezler masivayı
zikrederler mevla’yı
bulmuşlar bu sevdayı
öterler allah diye

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar
kalbi eriten onlar

kanadını açarlar
yükseklere uçarlar
zikir ile yaşarlar
öterler allah diye

kanadını açarlar
yükseklere uçarlar
zikir ile yaşarlar
öterler allah diye

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar
kalbi eriten onlar

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar

hak diye öten onlar
hu deyip biten onlar
yaradanın aşkıyla
kalbi eriten onlar
kalbi eriten onlar
",ilahi,0.14,0.12,0.12,0.0,0.01,0.0,0.0,0.01
557,Sadrı Cemil Murselin Sensin Ya Rasulallah,"sadrı cemil murselin
sensin ya rasulallah
sadrı cemil murselin
sensin ya rasulallah

bedri eflaki yakin
sensin ya rasulallah
bedri eflaki yakin
sensin ya rasulallah

allah ya allah
lailahe illallah
allah ya allah
muhammed resulullah

nurun siracı vehhac
alemler sana muhtac
nurun siracı vehhac
alemler sana muhtac

sahibi tac u mirac
sensin ya rasulallah
sahibi tac u mirac
sensin ya rasulallah

allah ya allah
lailahe illallah
allah ya allah
muhammed resulullah

ayinei rahmani
nuri paki sübhani
ayinei rahmani
nuri paki sübhani

sırrı sebulme sani
sensin ya rasulallah
sırrı sebulme sani
sensin ya rasulallah

allah ya allah
lailahe illallah
allah ya allah
muhammed resulullah

açan rahı tevhidi
bulan sırrı tefridi
açan rahı tevhidi
bulan sırrı tefridi

hüdayi’nin ümmidi
sensin ya rasulallah
hüdayi’nin ümmidi
sensin ya rasulallah

allah ya allah
lailahe illallah
allah ya allah
muhammed resulullah

allah ya allah
lailahe illallah
allah ya allah
muhammed resulullah

şahidin leyli isra
sübhanellezi esra
camii cümle esma
sensin ya rasulallah

ey menbaı lutf u cud
yerin makamı mahmud
yaradılmışdan maksud
sensin ya rasulallah
",ilahi,0.12,0.04,0.04,0.0,0.13,0.04,0.0,0.24
558,Ağlayı Ağlayı,"besmelesiz çıkma yola
kuran sünnet bize kale
medine’de ol rasul’e
baksam ağlayı ağlayı
medine’deki o güle
baksam ağlayı ağlayı

mekke medine yolları
gezemedim o illeri
mis kokan o beldeleri
gezsem ağlayı ağlayı

arafat dualar dağı
evliyalarındır bağı
ne olur garibin hâli
çıksam ağlayı ağlayı

mekke medine yolları
gezemedim o illeri
mis kokan o beldeleri
gezsem ağlayı ağlayı

bedir uhud hendek nerde
nice şehit var o yerde
dualar edin her yerde
etsem ağlayı ağlayı

mekke medine yolları
gezemedim o illeri
mis kokan o beldeleri
gezsem ağlayı ağlayı

nakış nakıştır şu âlem
var mı sırlarını bilen
rasul muhammed’i gören
görsem ağlayı ağlayı

mekke medine yolları
gezemedim o illeri
mis kokan o beldeleri
gezsem ağlayı ağlayı
",ilahi,0.11,0.16,0.09,0.01,0.0,0.0,0.01,0.17
559,Mevlam Nasip Etse,"gani mevlam nasib etse
varsam ağlayı ağlayı
medinedeki muhammedi
görsem ağlayı ağlayı

delil yapışsa elime
lebbeyk öğretse dilime
i̇hram bezini belime
sarsam ağlayı ağlayı

akıtırlar hayvan kanı
esirgemez kimse canı
şol meydanda koç kurbanı
kessem ağlayı ağlayı

hüccac döner yana yana
ciğerim döndü büryana
şol zemzemden kana kana
içsem ağlayı ağlayı

derviş yunus der can ile
kul olmuşum iman ile
dilim zikri kuran ile
varsam ağlayı ağlayı
",ilahi,0.11,0.24,0.03,0.0,0.0,0.0,0.0,0.24
560,Anneciğim Kimi Zaman Umutsuzca Seni Ararım,"anneciğim kimi zaman umutsuzca seni ararım
issız çölde serap misali hayalini yaşarım
anneciğim kimi zaman umutsuzca seni ararım
issız çölde serap misali hayalini yaşarım

gözlerimde canlanır gülen gözlerin
kulaklarımda çınlıyor sımsıcak sesin
alışmak zor sensizliğe
anne nerdesin nerdesin anne
anne nerdesin nerdesin anne
anne nerdesin nerdesin anne
anne nerdesin nerdesin annem

anneciğim giriyorsun kimi zaman düşlerime
yüzün solgun tedirginsin sakın beni düşünme
ektiğin tohumlar bir bir yeşerdi anne
öğütlerin fidan oldu boy verdi anne
mekânın cennet olsun rahat uyu anne
rahat uyu anne rahat uyu anne
gözlerimde canlanır gülen gözlerin
kulaklarımda çınlıyor sımsıcak sesin
alışmak zor sensizliğe
anne nerdesin nerdesin anne
anne nerdesin nerdesin anne
anne nerdesin nerdesin anne
anne nerdesin nerdesin annem
",ilahi,0.05,0.27,0.11,0.0,0.0,0.01,0.0,0.02
561,Sarıl Allah'a Allah'a,"tükenmez servet istersin
yıkılmaz devlet istersin
bıkılmaz nimet istersin
sarıl allah’a allah’a
bıkılmaz nimet istersin
sarıl allah’a allah’a

ne kadar güzel istersen
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a

en güzel canan istersen
en yüce sultan istersen
en sağlam derman istersen
sarıl allah’a allah’a
en sağlam derman istersen
sarıl allah’a allah’a

ne kadar güzel istersen
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a

en güzel canan istersen
en yüce sultan istersen
en sağlam derman istersen
sarıl allah’a allah’a
en sağlam derman istersen
sarıl allah’a allah’a

ne kadar güzel istersen
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a

hamdine murat istersen
doyulmayan tat istersen
en güzel vuslat istersen
sarıl allah’a allah’a
en güzel vuslat istersen
sarıl allah’a allah’a

ne kadar güzel istersen
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a

hamdine murat istersen
doyulmayan tat istersen
en güzel vuslat istersen
sarıl allah’a allah’a
en güzel vuslat istersen
sarıl allah’a allah’a

ne kadar güzel istersen
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a
tutunacak el istersin
sarıl allah’a allah’a
sarıl allah’a allah’a
",ilahi,0.09,0.37,0.12,0.06,0.0,0.0,0.0,0.0
562,Mevlam Vermesin Bize Ayrılık,"dergahının önünden geçiyor arık
elinde misvağı var başında sarık
mevlam vermesin sofi bize ayrılık
ben seydama kurbanım sofisine hayran
seydama sofi olan ediyor bayram

dergahına vardım tövbe veriyor
tövbeyi alanlar âdap dinliyor
sekiz şartı yapanlar sofi oluyor
ben seydama kurbanım sofisine hayran
seydama sofi olan ediyor bayram

sabah namazından sonra virdini çeken
i̇kindiyi kılıptahatmeye giren
akşam namazından sonra rabıta yapan
ben seydama kurbanım sofisine hayran
seydama sofi olan ediyor bayram
",ilahi,0.11,0.13,0.2,0.01,0.0,0.0,0.0,0.03
563,Can Allah Canan Allah,"can allah canan allah
la ilahe illallah
muhammedur resulullah

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah

ey aşıkı dildare
gel nuş edelim bade
bir bade gerek amma
kim içile me vade
bir bade gerek amma
kim içile me vade

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah

bir kez içen aşıktır
aşkında ol sadıktır
aşk ona hem layıktır
mecnun ile ferhada
aşk ona hem layıktır
mecnun ile ferhada

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah

i̇şit bu sezaiden
ne gördü fenaiden
dost yüzünü gösterdi
miratı mücelladan
dost yüzünü gösterdi
miratı mücelladan

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah
",ilahi,0.11,0.08,0.02,0.01,0.04,0.05,0.0,0.11
564,Ayırma,"gönlümü ilahi senden ayırma
aşkına sultanım benden ayırma
masiva hubbunu çıkar kalbimden
her ne sana yarar ondan ayırma
masiva hubbunu çıkar kalbimden
her ne sana yarar ondan ayırma

ehli hal ile beni haldaş eyle
zakir kulların ile koldaş eyle
ahir nefeste iman yoldaş eyle
ya rabbi sen onu benden ayırma
ehli hal ile beni haldaş eyle
zakir kulların ile koldaş eyle
ahir nefeste iman yoldaş eyle
ya rabbi sen onu benden ayırma

derd ile edelim sema vü cevlan
sineler çak edip olalım üryan
akıbet kimseye kalmaz bu devran
hele şimdi bu devrandan ayırma
akıbet kimseye kalmaz bu devran
hele şimdi bu devrandan ayırma

ehli hal ile beni haldaş eyle
zakir kulların ile koldaş eyle
ahir nefeste iman yoldaş eyle
ya rabbi sen onu benden ayırma
ehli hal ile beni haldaş eyle
zakir kulların ile koldaş eyle
ahir nefeste iman yoldaş eyle
ya rabbi sen onu benden ayırma

dostlarına vade kıldın visalin
aşıklar ararlar senin hayalin
lutfedip cennette göster cemalin
ya rab bizi bu ihsandan ayırma
lutfedip cennette göster cemalin
ya rab bizi bu ihsandan ayırma

ehli hal ile beni haldaş eyle
zakir kulların ile koldaş eyle
ahir nefeste iman yoldaş eyle
ya rabbi sen onu benden ayırma
ehli hal ile beni haldaş eyle
zakir kulların ile koldaş eyle
ahir nefeste iman yoldaş eyle
ya rabbi sen onu benden ayırma

zakirinin katı çoktur günahı
zikrin hakkı onu affet ilahi
ey kamu alemlerin padişahı
dilim zikr ile kur’an’dan ayırma
ey kamu alemlerin padişahı
dilim zikr ile kur’an’dan ayırma

ehli hal ile beni haldaş eyle
zakir kulların ile koldaş eyle
ahir nefeste iman yoldaş eyle
ya rabbi sen onu benden ayırma
ehli hal ile beni haldaş eyle
zakir kulların ile koldaş eyle
ahir nefeste iman yoldaş eyle
ya rabbi sen onu benden ayırma
ya rabbi sen onu benden ayırma
",ilahi,0.05,0.08,0.07,0.02,0.09,0.01,0.0,0.07
565,Derman Aradım Derdime Derdim Bana Derman İmiş,"huuu aslına huuu
neline huuu
selam olsun erenlere
selam olsun yarenlere

derman arardım derdime
derdim bana derman imiş
burhan sorardım aslıma
aslım bana burhan imiş
burhan sorardım aslıma
aslım bana burhan imiş

sağ u solu gözler idim
dost yüzünü görsem deyu
ben taşrada arar iken
ol can içinde can imiş
ben taşrada arar iken
ol can içinde can imiş

savm u salat u hacc ile
sanma biter zahid işin
i̇nsanı kamil olmağa
lazım olan irfan imiş
i̇nsanı kamil olmağa
lazım olan irfan imiş

i̇şit niyazi’nin sözün
bir nesne örtmez hak yüzün
haktan ayan bir nesne yok
gözsüzlere pinhan imiş
hay hay

haktan ayan bir nesne yok
gözsüzlere pinhan imiş

haktan ayan bir nesne yok
gözsüzlere pinhan imiş
hay hay

haktan ayan bir nesne yok
gözsüzlere pinhan imiş
",ilahi,0.2,0.2,0.13,0.02,0.01,0.02,0.0,0.08
566,Aşkınla Yandır Sultanım Allah,"aşkınla yandır sultanım allah
şevkinle döndür sultanım allah
sensin ilahım püştü penahım
affet günahım sultanım allah

aşkınla yandır sultanım allah
şevkinle döndür sultanım allah

nefsimi bildir aslımı buldur
ölmeden öldür sultanım allah
sensin ilahım püştü penahım
affet günahım sultanım allah

aşkınla yandır sultanım allah
şevkinle döndür sultanım allah

al beni benden kaydı bedenden
ayırma senden sultanım allah

aşkınla yandır sultanım allah
şevkinle döndür sultanım allah

eyle zekai hamdü senayı
daim duayı sultanım allah

eyle zekai hamdü senayı
daim duayı sultanım allah

eyle zekai hamdü senayı
daim duayı sultanım allah

al beni benden kaydı bedenden
ayırma senden sultanım allah

nefsimi bildir aslımı buldur
ölmeden öldür sultanım allah
",ilahi,0.09,0.2,0.03,0.0,0.0,0.0,0.0,0.07
567,Mana Eri Bu Yolda Melul Olası Değil,"mana eri bu yolda melul olası değil
mana duyan gönüller hergiz ölesi değil
mana eri bu yolda melul olası değil
mana duyan gönüller hergiz ölesi değil

ten fanidir can ölmez gidenler geri gelmez
ölür ise ten ölür canlar ölesi değil
ölür ise ten ölür canlar ölesi değil
ten fanidir can ölmez gidenler geri gelmez
ölür ise ten ölür canlar ölesi değil
ölür ise ten ölür canlar ölesi değil

gevher seven gönüller yüz bin yıl arar ise
haktan nasip olmasa nasip alası değil
gevher seven gönüller yüz bin yıl arar ise
haktan nasip olmasa nasip alası değil

ten fanidir can ölmez gidenler geri gelmez
ölür ise ten ölür canlar ölesi değil
ten fanidir can ölmez gidenler geri gelmez
ölür ise ten ölür canlar ölesi değil

yarattı hak dünyayı peygamber dostluğuna
dünyaya gelen gider baki kalası değil
yarattı hak dünyayı peygamber dostluğuna
dünyaya gelen gider baki kalası değil

ten fanidir can ölmez gidenler geri gelmez
ölür ise ten ölür canlar ölesi değil
ölür ise ten ölür canlar ölesi değil
ten fanidir can ölmez gidenler geri gelmez
ölür ise ten ölür canlar ölesi değil
ölür ise ten ölür canlar ölesi değil
",ilahi,0.2,0.33,0.14,0.1,0.0,0.0,0.0,0.01
